,,0
LBGI,adolescent#001,0.0
LBGI,adolescent#002,0.0
LBGI,adolescent#003,12.941596860922296
LBGI,adolescent#004,0.4989647249707094
LBGI,adolescent#005,2.359299462222528
LBGI,adolescent#006,5.095966865360227
LBGI,adolescent#007,0.0
LBGI,adolescent#008,0.0
LBGI,adolescent#009,2.6618414509408255
LBGI,adolescent#010,7.65285781053212
LBGI,adult#001,0.0
LBGI,adult#002,0.14304593477622807
LBGI,adult#003,0.9890219440452143
LBGI,adult#004,2.388964516097686
LBGI,adult#005,0.04047688300599476
LBGI,adult#006,0.3796685757651205
LBGI,adult#007,5.284501355945715
LBGI,adult#008,0.0897221368232276
LBGI,adult#009,0.0
LBGI,adult#010,0.0
LBGI,child#001,6.071583062299661
LBGI,child#002,6.2907789604762705
LBGI,child#003,4.3915214589031635
LBGI,child#004,18.973514885806118
LBGI,child#005,7.252208582702046
LBGI,child#006,5.713145507638032
LBGI,child#007,2.6925088300973874
LBGI,child#008,0.34075397984126893
LBGI,child#009,12.131875197913011
LBGI,child#010,2.8435354082103754
HBGI,adolescent#001,0.12008860341369954
HBGI,adolescent#002,0.026943923302481212
HBGI,adolescent#003,0.0
HBGI,adolescent#004,0.0
HBGI,adolescent#005,0.0
HBGI,adolescent#006,0.0
HBGI,adolescent#007,0.00346909779538376
HBGI,adolescent#008,0.017845593609635717
HBGI,adolescent#009,0.0
HBGI,adolescent#010,0.0
HBGI,adult#001,0.15520351090197498
HBGI,adult#002,0.0
HBGI,adult#003,0.0
HBGI,adult#004,0.0
HBGI,adult#005,0.0
HBGI,adult#006,0.0
HBGI,adult#007,0.0
HBGI,adult#008,0.0
HBGI,adult#009,0.0911219048984292
HBGI,adult#010,0.6349914671237457
HBGI,child#001,0.0
HBGI,child#002,0.0
HBGI,child#003,0.0
HBGI,child#004,0.0
HBGI,child#005,0.0
HBGI,child#006,0.0
HBGI,child#007,0.0
HBGI,child#008,0.0
HBGI,child#009,0.0
HBGI,child#010,0.0
Risk Index,adolescent#001,0.12008860341369954
Risk Index,adolescent#002,0.026943923302481212
Risk Index,adolescent#003,12.941596860922296
Risk Index,adolescent#004,0.4989647249707094
Risk Index,adolescent#005,2.359299462222528
Risk Index,adolescent#006,5.095966865360227
Risk Index,adolescent#007,0.00346909779538376
Risk Index,adolescent#008,0.017845593609635717
Risk Index,adolescent#009,2.6618414509408255
Risk Index,adolescent#010,7.65285781053212
Risk Index,adult#001,0.15520351090197498
Risk Index,adult#002,0.14304593477622807
Risk Index,adult#003,0.9890219440452143
Risk Index,adult#004,2.388964516097686
Risk Index,adult#005,0.04047688300599476
Risk Index,adult#006,0.3796685757651205
Risk Index,adult#007,5.284501355945715
Risk Index,adult#008,0.0897221368232276
Risk Index,adult#009,0.0911219048984292
Risk Index,adult#010,0.6349914671237457
Risk Index,child#001,6.071583062299661
Risk Index,child#002,6.2907789604762705
Risk Index,child#003,4.3915214589031635
Risk Index,child#004,18.973514885806118
Risk Index,child#005,7.252208582702046
Risk Index,child#006,5.713145507638032
Risk Index,child#007,2.6925088300973874
Risk Index,child#008,0.34075397984126893
Risk Index,child#009,12.131875197913011
Risk Index,child#010,2.8435354082103754
